TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
183,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
150,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
199,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
178,3,MULTI,NO_M,MULTI_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
100,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
158,2,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
29,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
33,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
190,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36 MONTHS,NO
62,1,SINGLE,NO_M,NO_C,N,MEMBER,YES,NO_F,36+ MONTHS,YES
26,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
89,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,YES,SINGLE_F,36+ MONTHS,NO
191,1,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
109,2,SINGLE,NO_M,SINGLE_C,N,SILVER,NO,NO_F,36 MONTHS,YES
127,1,SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
101,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,18 MONTHS,YES
80,1,SINGLE,SINGLE_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
27,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
198,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
213,2,MULTI,MULTI_M,MULTI_C,N,SILVER,YES,NO_F,12 MONTHS,YES
195,2,SINGLE,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
166,1,MULTI,NO_M,MULTI_C,ADV,GOLD,NO,NO_F,12 MONTHS,YES
123,1,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,YES
25,3,SINGLE,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
108,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
182,1,MULTI,SINGLE_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
