TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
142,3,MULTI,NO_M,MULTI_C,N,SILVER,NO,SINGLE_F,36+ MONTHS,NO
144,3,SINGLE,NO_M,SINGLE_C,N,GOLD,YES,NO_F,36+ MONTHS,NO
145,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
148,3,MULTI,NO_M,MULTI_C,N,SILVER,NO,NO_F,12 MONTHS,NO
149,2,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
151,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
152,3,MULTI,NO_M,SINGLE_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
153,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
154,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,30 MONTHS,YES
155,2,SINGLE,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
156,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
158,2,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
159,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
160,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
161,2,SINGLE,SINGLE_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
162,1,MULTI,SINGLE_M,NO_C,N,SILVER,NO,NO_F,30 MONTHS,YES
164,3,MULTI,NO_M,NO_C,ADV,SILVER,NO,NO_F,12 MONTHS,NO
165,3,MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
166,1,MULTI,NO_M,MULTI_C,ADV,GOLD,NO,NO_F,12 MONTHS,YES
167,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
169,1,MULTI,NO_M,MULTI_C,N,MEMBER,NO,SINGLE_F,12 MONTHS,YES
170,3,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
173,3,MULTI,NO_M,MULTI_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
174,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
175,1,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
176,2,SINGLE,NO_M,SINGLE_C,N,MEMBER,NO,NO_F,36+ MONTHS,YES
180,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36 MONTHS,NO
181,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
182,1,MULTI,SINGLE_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
184,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
185,1,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
186,1,MULTI,MULTI_M,SINGLE_C,ADV,GOLD,NO,NO_F,30 MONTHS,YES
188,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
189,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
191,1,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
192,3,MULTI,NO_M,NO_C,PASS,GOLD,NO,NO_F,36+ MONTHS,NO
193,2,MULTI,SINGLE_M,MULTI_C,N,GOLD,NO,SINGLE_F,12 MONTHS,YES
195,2,SINGLE,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
197,2,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,30 MONTHS,YES
199,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
200,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,NO
201,2,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,YES
201,2,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
202,1,MULTI,SINGLE_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
204,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,12 MONTHS,NO
205,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
207,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,24 MONTHS,NO
209,3,MULTI,NO_M,NO_C,ADV,UNKNOWN,NO,NO_F,12 MONTHS,NO
210,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,12 MONTHS,YES
211,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
212,1,MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,12 MONTHS,YES
213,2,MULTI,MULTI_M,MULTI_C,N,SILVER,YES,NO_F,12 MONTHS,YES
213,2,MULTI,MULTI_M,MULTI_C,N,SILVER,YES,NO_F,6 MONTHS,YES
